,title,case_id,top5
261,Credit Suisse Securities (USA) LLC v. Simmonds,262,"reporting, landau, years, limitations, equitable"
262,"CRST Van Expedited, Inc. v. EEOC",263,"fletcher, smith, prejudice, defendant, eeoc"
263,"CSX Transp., Inc. v. McBride",264,"cause, proximate, rothfeld, jury, frederick"
264,"CSX Transportation, Inc. v. Alabama Dept. of Revenue",265,"tax, maze, railroads, property, exemptions"
265,"CSX Transportation, Inc. v. Georgia State Bd. of Equalization",266,"value, calvert, methodology, market, phillips"
266,CTS Corp. v. Waldburger,267,"limitations, period, statutes, action, date"
267,Cullen v. Pinholster,268,"bilderback, new, facts, record, factual"
268,Cunningham v. California,269,"california, gold, laurence, judge, system"
269,"Cuomo v. Clearing House Assn., L.L.C.",270,"underwood, bank, enforcement, laws, enforce"
270,"Cuozzo Speed Technologies, LLC v. Lee",271,"patent, gannon, pto, board, beeney"
271,Currier v. Virginia,272,"heritage, corporation, second, trial, preclusion"
272,Cutter v. Wilkinson,273,"cole, prison, reporting, company1111, clause"
273,Cuyahoga Falls v. Buckeye Community Hope Foundation,274,"city, referendum, kramer, nager, petition"
274,"Cyan, Inc. v. Beaver County Employees Retirement Fund",275,"goldstein, heritage, corporation, katyal, covered"
275,Czyzewski v. Jevic Holding Corp.,276,"landau, reporting, priority, settlement, estate"
276,Dada v. Mukasey,277,"reopen, voluntary, departure, motion, meade"
277,Dahda v. United States,278,"order, heritage, corporation, tripp, shanmugam"
278,Daimler AG v. Bauman,279,"jurisdiction, california, russell, dupree, daimler"
279,DaimlerChrysler Corp. v. Cuno,280,"tax, enrich, ohio, olson, property"
280,Dalmazzi v. United States,281,"military, heritage, corporation, courts, office"
281,Danforth v. Minnesota,282,"butler, teague, diamond, remedy, constitutional"
282,Daniels v. United States,283,"conviction, dreeben, tanaka, sentence, custis"
283,"Dan_s City Used Cars, Inc. v. Pelkey",284,"page, vehicle, transportation, motor, tow"
284,Dart Cherokee Basin Operating Co. v. Owens,285,"reporting, sharp, berreth, tenth, decision"
285,Dastar Corp. v. Twentieth Century Fox Film Corp.,286,"cendali, dastar, 4th, floor, gerber"
286,Davenport v. Washington Ed. Assn.,287,"west, union, reporting, mckenna, money"
287,Davila v. Davis,288,"trial, counsel, martinez, appellate, assistance"
288,Davis v. Ayala,289,"urbanski, trial, dain, strategy, counsel"
289,Davis v. Federal Election Comm’n,290,"herman, clement, candidate, party, money"
290,Davis v. United States,291,"exclusionary, fourth, kerr, amendment, good"
291,Davis v. Washington,292,"fisher, reporting, confrontation, clause, call"
292,Day v. McDonough,293,"busby, limitations, discretion, kise, habeas"
293,Dean v. United States,294,"sentence, stoler, yang, guidelines, judge"
294,Deck v. Missouri,295,"nield, percival, page, jury, defendant"
295,Decker v. Northwest Environmental Defense Center,296,"epa, roads, bishop, fisher, industrial"
296,Delia v. E.M.A.,297,"medical, maddrey, percent, north, expenses"
297,Demore v. Hyung Joon Kim,298,"olson, rabinovitz, deportable, individual, individuals"
298,Department of Health and Human Servs. v. Florida,299,"market, insurance, health, verrilli, care"
299,Department of Homeland Security v. MacLean,300,"katyal, information, regulations, foia, ssi"
300,Department of Housing and Urban Development v. Rucker,301,"housing, renne, authority, tenant, lease"
301,Department of Interior v. Klamath Water Users Protective Assn.,302,"stewart, tribes, documents, united, hitchings"
302,Department of Revenue of Ky. v. Davis,303,"kentucky, bonds, tax, reporting, brunstad"
303,Department of Transportation v. Association of American Railroads,304,"amtrak, gannon, standards, dupree, metrics"
304,Department of Transportation v. Public Citizen,305,"agency, kneedler, weissglass, trucks, environmental"
305,DePierre v. United States,306,"cocaine, base, pincus, crack, substance"
306,Derrick Kimbrough v. United States,307,"commission, guidelines, dreeben, nachmanoff, ratio"
307,Descamps v. United States,308,"johnson, horwich, california, burglary, element"
308,"Desert Palace, Inc. v. Costa",309,"ricciardi, plaintiff, 4th, floor, peccole"
309,Devenpeck v. Alford,310,"officer, phillips, hart, company1111, probable"
310,Devlin v. Scardelletti,311,"class, appeal, goldstein, intervention, settlement"
311,Dietz v. Bouldin,312,"jury, shanmugam, discharge, jurors, authority"
312,"Digital Realty Trust, Inc. v. Somers",313,"reporting, heritage, corporation, sec, report"
313,Dillon v. United States,314,"sentence, freeland, kruger, booker, commission"
314,Direct Marketing Assn. v. Brohl,315,"tax, domenico, collection, isaacson, injunction"
315,Director of Revenue of Mo. v. CoBank ACB,316,"hanson, bank, exemption, banks, tax"
316,"Directv, Inc. v. Imburgia",317,"arbitration, contract, landau, california, agreement"
317,District Attorney’s Office for Third Judicial Dist. v. Osborne,318,"neufeld, dna, test, alaska, innocence"
318,District of Columbia v. Heller,319,"amendment, dellinger, arms, gura, second"
319,"District of Columbia v. Tri County Industries, Inc.",320,"trial, jury, judge, standard, reischel"
320,District of Columbia v. Wesby,321,"kim, heritage, reporting, corporation, house"
321,Dixon v. United States,322,"defendant, jett, gornstein, defense, duress"
322,Dodd v. United States,323,"feldman, bergmann, reporting, company1111, decision"
323,Doe v. Chao,324,"stewart, campbell, effect, inc, adverse"
324,Doe v. Reed,325,"bopp, mckenna, public, petition, first"
325,Dolan v. Postal Service,326,"mail, millett, radmore, reporting, company1111"
326,Dolan v. United States,327,"karlan, restitution, sentence, appeal, judgment"
327,Dole Food Co. v. Patrickson,328,"foreign, paden, massey, ownership, interest"
328,Dollar General Corp. v. Mississippi Band of Choctaw Indians,329,"reporting, goldstein, jurisdiction, courts, katyal"
329,"Domino_s Pizza, Inc. v. McDonald",330,"contract, lichtenstein, mahoney, corporation, jwm"
330,Dorsey v. United States,331,"guidelines, sentencing, new, estrada, dreeben"
331,"Douglas v. Independent Living Center of Southern Cal., Inc.",332,"phillips, action, cause, supremacy, schwartz"
332,Dow Chemical Co. v. Stephenson,333,"waxman, class, smoger, 4th, floor"
333,Dretke v. Haley,334,"cruz, albritton, sentence, innocence, exception"
334,Duncan v. Owens,335,"levenstam, judge, trial, motive, illinois"
335,Duncan v. Walker,336,"bansal, loewenberg, inc, fourteenth, depo"
336,"Dura Pharmaceuticals, Inc. v. Broudo",337,"loss, stock, market, coughlin, company1111"
337,Dusenbery v. United States,338,"mail, notice, minear, procedures, person"
338,Eastern Associated Coal Corp. v. Mine Workers,339,"policy, public, arbitrator, contract, mooney"
339,"eBay Inc. v. MercExchange, L.L.C.",340,"patent, injunction, phillips, waxman, ebay"
340,EC Term of Years Trust v. United States,341,"tax, williams, maynard, refund, levy"
341,Edelman v. Lynchburg College,342,"charge, bell, employer, schnapper, commission"
342,"EEOC v. Abercrombie _ Fitch Stores, Inc.",343,"religious, employer, dvoretzky, policy, headscarf"
343,"EEOC v. Waffle House, Inc.",344,"eeoc, individual, gordon, action, clement"
344,Egelhoff v. Egelhoff,345,"erisa, plan, goldstein, kilberg, common"
345,Eldred v. Ashcroft,346,"copyright, lessig, olson, clause, first"
346,Elgin v. Department of Treasury,347,"mspb, schwartz, feigin, constitutional, authority"
347,Elk Grove Unified School Dist. v. Newdow,348,"god, newdow, pledge, religious, inc"
348,Elonis v. United States,349,"elwood, person, dreeben, threat, intent"
349,"Empire HealthChoice Assurance, Inc. v. McVeigh",350,"contract, stock, blue, benefits, cross"
350,"Encino Motorcars, LLC v. Navarro",351,"service, heritage, corporation, partsmen, clement"
351,Endrew F. v. Douglas County School Dist. RE-1,352,"katyal, standard, benefit, rowley, school"
352,Engine Mfrs. Assn. v. South Coast Air Quality Management Dist.,353,"vehicles, rules, inc, standards, california"
353,Engquist v. Oregon Dept. of Agriculture,354,"katyal, reporting, metcalf, employment, reason"
354,"Entergy Corp. v. Riverkeeper, Inc.",355,"available, lazarus, epa, costs, technology"
355,"Entergy La., Inc. v. Louisiana Pub. Serv. Comm_n",356,"ferc, tariff, 4th, floor, carpenter"
356,Environmental Defense v. Duke Energy Corp.,357,"modification, phillips, reporting, regulations, donahue"
357,"EPA v. EME Homer City Generation, L.P.",358,"epa, good, cost, neighbor, downwind"
358,Epic Systems Corp. v. Lewis,359,"arbitration, heritage, corporation, forum, section"
359,"Erica P. John Fund, Inc. v. Halliburton Co.",360,"class, market, certification, price, basic"
360,Esquivel-Quintana v. Sessions,361,"kedem, abuse, age, chevron, sexual"
361,Evans v. Chavis,362,"chatman, california, stris, company1111, days"
362,Evans v. Michigan,363,"judge, jury, defendant, element, trial"
363,Evenwel v. Abbott,364,"population, data, voters, consovoy, percent"
364,Ewing v. California,365,"denvir, sentence, nicola, california, crime"
365,Executive Benefits Ins. Agency v. Arkison,366,"consent, judgment, bankruptcy, judge, hallwarddriemeier"
366,Expressions Hair Design v. Schneiderman,367,"price, reporting, credit, card, surcharge"
367,Exxon Mobil Corp. v. Saudi Basic Industries Corp.,368,"coleman, page, castanias, reporting, preclusion"
368,"Exxon Mobile Corp. v. Allapattah Services, Inc.",369,"jurisdiction, diversity, page, action, zahn"
369,Exxon Shipping Co. v. Baker,370,"dellinger, fisher, punitive, damages, maritime"
370,"F. Hoffmann-LaRoche, Ltd. v. Empagran S.A.",371,"commerce, united, reporting, company1111, goldstein"
371,FAA v. Cooper,372,"damages, actual, privacy, distress, emotional"
372,FCC v. AT_T Inc.,373,"personal, privacy, yang, corporation, exemption"
373,"FCC v. Fox Television Stations, Inc.",374,"commission, verrilli, broadcast, phillips, nudity"
374,FCC v. NextWave Personal Communications Inc.,375,"fcc, bankruptcy, clement, payment, automatic"
375,Federal Election Comm_n v. Beaumont,376,"contributions, bopp, reporting, floor, contribution"
376,Federal Election Comm_n v. Colorado Republican Fed. Campaign Comm.,377,"party, candidate, underwood, money, inc"
377,"Federal Election Comm_n v. Wisconsin Right to Life, Inc.",378,"ads, clement, souter, mcconnell, election"
378,Federal Express Corp. v. Holowecki,379,"charge, notice, eeoc, reporting, form"
379,Federal Maritime Comm_n. v. South Carolina Ports Authority,380,"dean, immunity, commission, united, hughey"
380,Fellers v. United States,381,"waxman, amendment, dreeben, inc, sixth"
381,FERC v. Electric Power Supply Assn.,382,"ferc, wholesale, retail, market, demand"
382,Ferguson v. Charleston,383,"hood, police, hospital, criteria, medical"
383,Fernandez v. California,384,"police, randolph, fisher, consent, search"
384,Fernandez-Vargas v. Gonzales,385,"gossett, srinivasan, provision, iirira, reentry"
